year,election,wilaya,moughataa,commune,candidate,registered_voters,nb_null_votes,nb_neutral_votes,nb_votes
2019,Presidential,Adrar,Aoujeft,Maeden,Mohamed Sidi MAOULOUD (Maouloud),3351,22,7,98
2019,Presidential,Adrar,Aoujeft,Maeden,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),3351,22,7,323
2019,Presidential,Adrar,Aoujeft,N'Teirguent,Biram Dah Dah ABEID (Biram),1022,11,4,1
2019,Presidential,Adrar,Aoujeft,N'Teirguent,KANE Hamidou Baba (Kane),1022,11,4,2
2019,Presidential,Adrar,Aoujeft,N'Teirguent,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),1022,11,4,512
2019,Presidential,Adrar,Aoujeft,N'Teirguent,Mohamed Lemine El Mourteji El WAVI (Wavi),1022,11,4,1
2019,Presidential,Adrar,Aoujeft,N'Teirguent,Mohamed Sidi MAOULOUD (Maouloud),1022,11,4,7
2019,Presidential,Adrar,Aoujeft,N'Teirguent,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),1022,11,4,93
2019,Presidential,Adrar,Atar,Ain Ehel Taya,Biram Dah Dah ABEID (Biram),4144,91,11,85
2019,Presidential,Adrar,Atar,Ain Ehel Taya,KANE Hamidou Baba (Kane),4144,91,11,2
2019,Presidential,Adrar,Atar,Ain Ehel Taya,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),4144,91,11,2150
2019,Presidential,Adrar,Atar,Ain Ehel Taya,Mohamed Lemine El Mourteji El WAVI (Wavi),4144,91,11,6
2019,Presidential,Adrar,Atar,Ain Ehel Taya,Mohamed Sidi MAOULOUD (Maouloud),4144,91,11,21
2019,Presidential,Adrar,Atar,Ain Ehel Taya,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),4144,91,11,491
2019,Presidential,Adrar,Atar,Atar,Biram Dah Dah ABEID (Biram),14839,319,110,956
2019,Presidential,Adrar,Atar,Atar,KANE Hamidou Baba (Kane),14839,319,110,179
2019,Presidential,Adrar,Atar,Atar,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),14839,319,110,4831
2019,Presidential,Adrar,Atar,Atar,Mohamed Lemine El Mourteji El WAVI (Wavi),14839,319,110,26
2019,Presidential,Adrar,Atar,Atar,Mohamed Sidi MAOULOUD (Maouloud),14839,319,110,129
2019,Presidential,Adrar,Atar,Atar,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),14839,319,110,2205
2019,Presidential,Adrar,Atar,Choum,Biram Dah Dah ABEID (Biram),1815,36,0,88
2019,Presidential,Adrar,Atar,Choum,KANE Hamidou Baba (Kane),1815,36,0,8
2019,Presidential,Adrar,Atar,Choum,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),1815,36,0,433
2019,Presidential,Adrar,Atar,Choum,Mohamed Lemine El Mourteji El WAVI (Wavi),1815,36,0,3
2019,Presidential,Adrar,Atar,Choum,Mohamed Sidi MAOULOUD (Maouloud),1815,36,0,8
2019,Presidential,Adrar,Atar,Choum,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),1815,36,0,311
2019,Presidential,Adrar,Atar,Tawaz,Biram Dah Dah ABEID (Biram),5417,86,17,108
2019,Presidential,Adrar,Atar,Tawaz,KANE Hamidou Baba (Kane),5417,86,17,1
2019,Presidential,Adrar,Atar,Tawaz,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),5417,86,17,2149
2019,Presidential,Adrar,Atar,Tawaz,Mohamed Lemine El Mourteji El WAVI (Wavi),5417,86,17,3
2019,Presidential,Adrar,Atar,Tawaz,Mohamed Sidi MAOULOUD (Maouloud),5417,86,17,23
2019,Presidential,Adrar,Atar,Tawaz,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),5417,86,17,624
2019,Presidential,Adrar,Chinguitti,Ain Savra,Biram Dah Dah ABEID (Biram),1465,23,1,5
2019,Presidential,Adrar,Chinguitti,Ain Savra,KANE Hamidou Baba (Kane),1465,23,1,0
2019,Presidential,Adrar,Chinguitti,Ain Savra,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),1465,23,1,588
2019,Presidential,Adrar,Chinguitti,Ain Savra,Mohamed Lemine El Mourteji El WAVI (Wavi),1465,23,1,0
2019,Presidential,Adrar,Chinguitti,Ain Savra,Mohamed Sidi MAOULOUD (Maouloud),1465,23,1,24
2019,Presidential,Adrar,Chinguitti,Ain Savra,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),1465,23,1,82
2019,Presidential,Adrar,Chinguitti,Chinguitti,Biram Dah Dah ABEID (Biram),4677,40,8,162
2019,Presidential,Adrar,Chinguitti,Chinguitti,KANE Hamidou Baba (Kane),4677,40,8,16
2019,Presidential,Adrar,Chinguitti,Chinguitti,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),4677,40,8,1023
2019,Presidential,Adrar,Chinguitti,Chinguitti,Mohamed Lemine El Mourteji El WAVI (Wavi),4677,40,8,13
2019,Presidential,Adrar,Chinguitti,Chinguitti,Mohamed Sidi MAOULOUD (Maouloud),4677,40,8,183
2019,Presidential,Adrar,Chinguitti,Chinguitti,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),4677,40,8,304
2019,Presidential,Adrar,Ouadane,Ouadane,Biram Dah Dah ABEID (Biram),2703,16,7,29
2019,Presidential,Adrar,Ouadane,Ouadane,KANE Hamidou Baba (Kane),2703,16,7,1
2019,Presidential,Adrar,Ouadane,Ouadane,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),2703,16,7,1386
2019,Presidential,Adrar,Ouadane,Ouadane,Mohamed Lemine El Mourteji El WAVI (Wavi),2703,16,7,1
2019,Presidential,Adrar,Ouadane,Ouadane,Mohamed Sidi MAOULOUD (Maouloud),2703,16,7,8
2019,Presidential,Adrar,Ouadane,Ouadane,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),2703,16,7,197
2019,Presidential,Assaba,Barkéol,Barkéol,Biram Dah Dah ABEID (Biram),4306,48,6,492
2019,Presidential,Assaba,Barkéol,Barkéol,KANE Hamidou Baba (Kane),4306,48,6,37
2019,Presidential,Assaba,Barkéol,Barkéol,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),4306,48,6,1184
2019,Presidential,Assaba,Barkéol,Barkéol,Mohamed Lemine El Mourteji El WAVI (Wavi),4306,48,6,3
2019,Presidential,Assaba,Barkéol,Barkéol,Mohamed Sidi MAOULOUD (Maouloud),4306,48,6,371
2019,Presidential,Assaba,Barkéol,Barkéol,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),4306,48,6,242
2019,Presidential,Assaba,Barkéol,Bou Lahrath,Biram Dah Dah ABEID (Biram),4085,70,9,330
2019,Presidential,Assaba,Barkéol,Bou Lahrath,KANE Hamidou Baba (Kane),4085,70,9,9
2019,Presidential,Assaba,Barkéol,Bou Lahrath,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),4085,70,9,1311
2019,Presidential,Assaba,Barkéol,Bou Lahrath,Mohamed Lemine El Mourteji El WAVI (Wavi),4085,70,9,4
2019,Presidential,Assaba,Barkéol,Bou Lahrath,Mohamed Sidi MAOULOUD (Maouloud),4085,70,9,37
2019,Presidential,Assaba,Barkéol,Bou Lahrath,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),4085,70,9,284
2019,Presidential,Assaba,Barkéol,Daghveg,Biram Dah Dah ABEID (Biram),3394,54,4,560
2019,Presidential,Assaba,Barkéol,Daghveg,KANE Hamidou Baba (Kane),3394,54,4,46
2019,Presidential,Assaba,Barkéol,Daghveg,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),3394,54,4,1061
2019,Presidential,Assaba,Barkéol,Daghveg,Mohamed Lemine El Mourteji El WAVI (Wavi),3394,54,4,2
2019,Presidential,Assaba,Barkéol,Daghveg,Mohamed Sidi MAOULOUD (Maouloud),3394,54,4,84
2019,Presidential,Assaba,Barkéol,Daghveg,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),3394,54,4,184
2019,Presidential,Assaba,Barkéol,El Ghabra,Biram Dah Dah ABEID (Biram),5587,189,9,966
2019,Presidential,Assaba,Barkéol,El Ghabra,KANE Hamidou Baba (Kane),5587,189,9,41
2019,Presidential,Assaba,Barkéol,El Ghabra,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),5587,189,9,2214
2019,Presidential,Assaba,Barkéol,El Ghabra,Mohamed Lemine El Mourteji El WAVI (Wavi),5587,189,9,11
2019,Presidential,Assaba,Barkéol,El Ghabra,Mohamed Sidi MAOULOUD (Maouloud),5587,189,9,36
2019,Presidential,Assaba,Barkéol,El Ghabra,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),5587,189,9,148
2019,Presidential,Assaba,Barkéol,Gueller,Biram Dah Dah ABEID (Biram),2674,28,4,325
2019,Presidential,Assaba,Barkéol,Gueller,KANE Hamidou Baba (Kane),2674,28,4,1
2019,Presidential,Assaba,Barkéol,Gueller,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),2674,28,4,916
2019,Presidential,Assaba,Barkéol,Gueller,Mohamed Lemine El Mourteji El WAVI (Wavi),2674,28,4,0
2019,Presidential,Assaba,Barkéol,Gueller,Mohamed Sidi MAOULOUD (Maouloud),2674,28,4,12
2019,Presidential,Assaba,Barkéol,Gueller,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),2674,28,4,141
2019,Presidential,Assaba,Barkéol,Laweissi,Biram Dah Dah ABEID (Biram),4122,127,8,506
2019,Presidential,Assaba,Barkéol,Laweissi,KANE Hamidou Baba (Kane),4122,127,8,15
2019,Presidential,Assaba,Barkéol,Laweissi,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),4122,127,8,1569
2019,Presidential,Assaba,Barkéol,Laweissi,Mohamed Lemine El Mourteji El WAVI (Wavi),4122,127,8,6
2019,Presidential,Assaba,Barkéol,Laweissi,Mohamed Sidi MAOULOUD (Maouloud),4122,127,8,26
2019,Presidential,Assaba,Barkéol,Laweissi,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),4122,127,8,132
2019,Presidential,Assaba,Barkéol,Lebheir,Biram Dah Dah ABEID (Biram),2935,33,10,103
2019,Presidential,Assaba,Barkéol,Lebheir,KANE Hamidou Baba (Kane),2935,33,10,50
2019,Presidential,Assaba,Barkéol,Lebheir,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),2935,33,10,800
2019,Presidential,Assaba,Barkéol,Lebheir,Mohamed Lemine El Mourteji El WAVI (Wavi),2935,33,10,2
2019,Presidential,Assaba,Barkéol,Lebheir,Mohamed Sidi MAOULOUD (Maouloud),2935,33,10,60
2019,Presidential,Assaba,Barkéol,Lebheir,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),2935,33,10,156
2019,Presidential,Assaba,Barkéol,R'Dheidhie,Biram Dah Dah ABEID (Biram),3318,53,9,304
2019,Presidential,Assaba,Barkéol,R'Dheidhie,KANE Hamidou Baba (Kane),3318,53,9,4
2019,Presidential,Assaba,Barkéol,R'Dheidhie,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),3318,53,9,919
2019,Presidential,Assaba,Barkéol,R'Dheidhie,Mohamed Lemine El Mourteji El WAVI (Wavi),3318,53,9,2
2019,Presidential,Assaba,Barkéol,R'Dheidhie,Mohamed Sidi MAOULOUD (Maouloud),3318,53,9,6
2019,Presidential,Assaba,Barkéol,R'Dheidhie,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),3318,53,9,341
2019,Presidential,Assaba,Boumdeid,Boumdeid,Biram Dah Dah ABEID (Biram),3661,22,10,46
2019,Presidential,Assaba,Boumdeid,Boumdeid,KANE Hamidou Baba (Kane),3661,22,10,3
2019,Presidential,Assaba,Boumdeid,Boumdeid,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),3661,22,10,2886
2019,Presidential,Assaba,Boumdeid,Boumdeid,Mohamed Lemine El Mourteji El WAVI (Wavi),3661,22,10,2
2019,Presidential,Assaba,Boumdeid,Boumdeid,Mohamed Sidi MAOULOUD (Maouloud),3661,22,10,21
2019,Presidential,Assaba,Boumdeid,Boumdeid,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),3661,22,10,46
2019,Presidential,Assaba,Boumdeid,Hseiy Tin,Biram Dah Dah ABEID (Biram),1665,9,7,14
2019,Presidential,Assaba,Boumdeid,Hseiy Tin,KANE Hamidou Baba (Kane),1665,9,7,1
2019,Presidential,Assaba,Boumdeid,Hseiy Tin,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),1665,9,7,1077
2019,Presidential,Assaba,Boumdeid,Hseiy Tin,Mohamed Lemine El Mourteji El WAVI (Wavi),1665,9,7,2
2019,Presidential,Assaba,Boumdeid,Hseiy Tin,Mohamed Sidi MAOULOUD (Maouloud),1665,9,7,5
2019,Presidential,Assaba,Boumdeid,Hseiy Tin,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),1665,9,7,146
2019,Presidential,Assaba,Boumdeid,Lavtah,Biram Dah Dah ABEID (Biram),1247,4,2,8
2019,Presidential,Assaba,Boumdeid,Lavtah,KANE Hamidou Baba (Kane),1247,4,2,1
2019,Presidential,Assaba,Boumdeid,Lavtah,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),1247,4,2,708
2019,Presidential,Assaba,Boumdeid,Lavtah,Mohamed Lemine El Mourteji El WAVI (Wavi),1247,4,2,1
2019,Presidential,Assaba,Boumdeid,Lavtah,Mohamed Sidi MAOULOUD (Maouloud),1247,4,2,4
2019,Presidential,Assaba,Boumdeid,Lavtah,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),1247,4,2,52
2019,Presidential,Assaba,Guerou,El Ghaira,Biram Dah Dah ABEID (Biram),5923,122,4,365
2019,Presidential,Assaba,Guerou,El Ghaira,KANE Hamidou Baba (Kane),5923,122,4,7
2019,Presidential,Assaba,Guerou,El Ghaira,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),5923,122,4,1028
2019,Presidential,Assaba,Guerou,El Ghaira,Mohamed Lemine El Mourteji El WAVI (Wavi),5923,122,4,2
2019,Presidential,Assaba,Guerou,El Ghaira,Mohamed Sidi MAOULOUD (Maouloud),5923,122,4,18
2019,Presidential,Assaba,Guerou,El Ghaira,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),5923,122,4,730
2019,Presidential,Assaba,Guerou,Guerou,Biram Dah Dah ABEID (Biram),13281,334,18,931
2019,Presidential,Assaba,Guerou,Guerou,KANE Hamidou Baba (Kane),13281,334,18,80
2019,Presidential,Assaba,Guerou,Guerou,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),13281,334,18,3734
2019,Presidential,Assaba,Guerou,Guerou,Mohamed Lemine El Mourteji El WAVI (Wavi),13281,334,18,26
2019,Presidential,Assaba,Guerou,Guerou,Mohamed Sidi MAOULOUD (Maouloud),13281,334,18,36
2019,Presidential,Assaba,Guerou,Guerou,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),13281,334,18,1401
2019,Presidential,Assaba,Guerou,Kamour,Biram Dah Dah ABEID (Biram),4549,103,10,260
2019,Presidential,Assaba,Guerou,Kamour,KANE Hamidou Baba (Kane),4549,103,10,7
2019,Presidential,Assaba,Guerou,Kamour,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),4549,103,10,1720
2019,Presidential,Assaba,Guerou,Kamour,Mohamed Lemine El Mourteji El WAVI (Wavi),4549,103,10,5
2019,Presidential,Assaba,Guerou,Kamour,Mohamed Sidi MAOULOUD (Maouloud),4549,103,10,8
2019,Presidential,Assaba,Guerou,Kamour,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),4549,103,10,548
2019,Presidential,Assaba,Guerou,Oudeiy Jrid,Biram Dah Dah ABEID (Biram),1581,80,0,92
2019,Presidential,Assaba,Guerou,Oudeiy Jrid,KANE Hamidou Baba (Kane),1581,80,0,1
2019,Presidential,Assaba,Guerou,Oudeiy Jrid,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),1581,80,0,627
2019,Presidential,Assaba,Guerou,Oudeiy Jrid,Mohamed Lemine El Mourteji El WAVI (Wavi),1581,80,0,0
2019,Presidential,Assaba,Guerou,Oudeiy Jrid,Mohamed Sidi MAOULOUD (Maouloud),1581,80,0,5
2019,Presidential,Assaba,Guerou,Oudeiy Jrid,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),1581,80,0,255
2019,Presidential,Assaba,Kankoussa,Blajmil,Biram Dah Dah ABEID (Biram),4405,85,4,566
2019,Presidential,Assaba,Kankoussa,Blajmil,KANE Hamidou Baba (Kane),4405,85,4,22
2019,Presidential,Assaba,Kankoussa,Blajmil,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),4405,85,4,1364
2019,Presidential,Assaba,Kankoussa,Blajmil,Mohamed Lemine El Mourteji El WAVI (Wavi),4405,85,4,5
2019,Presidential,Assaba,Kankoussa,Blajmil,Mohamed Sidi MAOULOUD (Maouloud),4405,85,4,26
2019,Presidential,Assaba,Kankoussa,Blajmil,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),4405,85,4,131
2019,Presidential,Assaba,Kankoussa,Hamed,Biram Dah Dah ABEID (Biram),5321,121,20,732
2019,Presidential,Assaba,Kankoussa,Hamed,KANE Hamidou Baba (Kane),5321,121,20,145
2019,Presidential,Assaba,Kankoussa,Hamed,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),5321,121,20,1771
2019,Presidential,Assaba,Kankoussa,Hamed,Mohamed Lemine El Mourteji El WAVI (Wavi),5321,121,20,8
2019,Presidential,Assaba,Kankoussa,Hamed,Mohamed Sidi MAOULOUD (Maouloud),5321,121,20,55
2019,Presidential,Assaba,Kankoussa,Hamed,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),5321,121,20,207
2019,Presidential,Assaba,Kankoussa,Kankoussa,Biram Dah Dah ABEID (Biram),7165,102,23,1067
2019,Presidential,Assaba,Kankoussa,Kankoussa,KANE Hamidou Baba (Kane),7165,102,23,97
2019,Presidential,Assaba,Kankoussa,Kankoussa,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),7165,102,23,2084
2019,Presidential,Assaba,Kankoussa,Kankoussa,Mohamed Lemine El Mourteji El WAVI (Wavi),7165,102,23,7
2019,Presidential,Assaba,Kankoussa,Kankoussa,Mohamed Sidi MAOULOUD (Maouloud),7165,102,23,63
2019,Presidential,Assaba,Kankoussa,Kankoussa,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),7165,102,23,438
2019,Presidential,Assaba,Kankoussa,Sani,Biram Dah Dah ABEID (Biram),2731,16,8,54
2019,Presidential,Assaba,Kankoussa,Sani,KANE Hamidou Baba (Kane),2731,16,8,20
2019,Presidential,Assaba,Kankoussa,Sani,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),2731,16,8,1293
2019,Presidential,Assaba,Kankoussa,Sani,Mohamed Lemine El Mourteji El WAVI (Wavi),2731,16,8,9
2019,Presidential,Assaba,Kankoussa,Sani,Mohamed Sidi MAOULOUD (Maouloud),2731,16,8,33
2019,Presidential,Assaba,Kankoussa,Sani,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),2731,16,8,139
2019,Presidential,Assaba,Kankoussa,Tenaha,Biram Dah Dah ABEID (Biram),2099,35,4,115
2019,Presidential,Assaba,Kankoussa,Tenaha,KANE Hamidou Baba (Kane),2099,35,4,11
2019,Presidential,Assaba,Kankoussa,Tenaha,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),2099,35,4,1052
2019,Presidential,Assaba,Kankoussa,Tenaha,Mohamed Lemine El Mourteji El WAVI (Wavi),2099,35,4,4
2019,Presidential,Assaba,Kankoussa,Tenaha,Mohamed Sidi MAOULOUD (Maouloud),2099,35,4,27
2019,Presidential,Assaba,Kankoussa,Tenaha,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),2099,35,4,173
2019,Presidential,Assaba,Kiffa,Aghorat,Biram Dah Dah ABEID (Biram),9884,127,11,195
2019,Presidential,Assaba,Kiffa,Aghorat,KANE Hamidou Baba (Kane),9884,127,11,18
2019,Presidential,Assaba,Kiffa,Aghorat,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),9884,127,11,3971
2019,Presidential,Assaba,Kiffa,Aghorat,Mohamed Lemine El Mourteji El WAVI (Wavi),9884,127,11,20
2019,Presidential,Assaba,Kiffa,Aghorat,Mohamed Sidi MAOULOUD (Maouloud),9884,127,11,69
2019,Presidential,Assaba,Kiffa,Aghorat,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),9884,127,11,640
2019,Presidential,Assaba,Kiffa,El Melgue,Biram Dah Dah ABEID (Biram),3859,84,12,66
2019,Presidential,Assaba,Kiffa,El Melgue,KANE Hamidou Baba (Kane),3859,84,12,8
2019,Presidential,Assaba,Kiffa,El Melgue,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),3859,84,12,1463
2019,Presidential,Assaba,Kiffa,El Melgue,Mohamed Lemine El Mourteji El WAVI (Wavi),3859,84,12,8
2019,Presidential,Assaba,Kiffa,El Melgue,Mohamed Sidi MAOULOUD (Maouloud),3859,84,12,23
2019,Presidential,Assaba,Kiffa,El Melgue,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),3859,84,12,241
2019,Presidential,Assaba,Kiffa,Kiffa,Biram Dah Dah ABEID (Biram),23520,468,90,2308
2019,Presidential,Assaba,Kiffa,Kiffa,KANE Hamidou Baba (Kane),23520,468,90,243
2019,Presidential,Assaba,Kiffa,Kiffa,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),23520,468,90,7533
2019,Presidential,Assaba,Kiffa,Kiffa,Mohamed Lemine El Mourteji El WAVI (Wavi),23520,468,90,58
2019,Presidential,Assaba,Kiffa,Kiffa,Mohamed Sidi MAOULOUD (Maouloud),23520,468,90,314
2019,Presidential,Assaba,Kiffa,Kiffa,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),23520,468,90,1560
2019,Presidential,Assaba,Kiffa,Kouroudjel,Biram Dah Dah ABEID (Biram),2308,25,4,37
2019,Presidential,Assaba,Kiffa,Kouroudjel,KANE Hamidou Baba (Kane),2308,25,4,0
2019,Presidential,Assaba,Kiffa,Kouroudjel,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),2308,25,4,629
2019,Presidential,Assaba,Kiffa,Kouroudjel,Mohamed Lemine El Mourteji El WAVI (Wavi),2308,25,4,2
2019,Presidential,Assaba,Kiffa,Kouroudjel,Mohamed Sidi MAOULOUD (Maouloud),2308,25,4,47
2019,Presidential,Assaba,Kiffa,Kouroudjel,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),2308,25,4,143
2019,Presidential,Assaba,Kiffa,Legrane,Biram Dah Dah ABEID (Biram),5448,76,13,167
2019,Presidential,Assaba,Kiffa,Legrane,KANE Hamidou Baba (Kane),5448,76,13,54
2019,Presidential,Assaba,Kiffa,Legrane,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),5448,76,13,2225
2019,Presidential,Assaba,Kiffa,Legrane,Mohamed Lemine El Mourteji El WAVI (Wavi),5448,76,13,12
2019,Presidential,Assaba,Kiffa,Legrane,Mohamed Sidi MAOULOUD (Maouloud),5448,76,13,25
2019,Presidential,Assaba,Kiffa,Legrane,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),5448,76,13,171
2019,Presidential,Assaba,Kiffa,Nouamlein,Biram Dah Dah ABEID (Biram),3648,81,6,93
2019,Presidential,Assaba,Kiffa,Nouamlein,KANE Hamidou Baba (Kane),3648,81,6,0
2019,Presidential,Assaba,Kiffa,Nouamlein,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),3648,81,6,2136
2019,Presidential,Assaba,Kiffa,Nouamlein,Mohamed Lemine El Mourteji El WAVI (Wavi),3648,81,6,2
2019,Presidential,Assaba,Kiffa,Nouamlein,Mohamed Sidi MAOULOUD (Maouloud),3648,81,6,7
2019,Presidential,Assaba,Kiffa,Nouamlein,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),3648,81,6,156
2019,Presidential,Brakna,Aleg,Aghchourguit,Biram Dah Dah ABEID (Biram),5883,116,20,65
2019,Presidential,Brakna,Aleg,Aghchourguit,KANE Hamidou Baba (Kane),5883,116,20,9
2019,Presidential,Brakna,Aleg,Aghchourguit,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),5883,116,20,2876
2019,Presidential,Brakna,Aleg,Aghchourguit,Mohamed Lemine El Mourteji El WAVI (Wavi),5883,116,20,11
2019,Presidential,Brakna,Aleg,Aghchourguit,Mohamed Sidi MAOULOUD (Maouloud),5883,116,20,37
2019,Presidential,Brakna,Aleg,Aghchourguit,Sidi Mohamed Boubacar BOUSSALEF (Boubacar),5883,116,20,531
2019,Presidential,Brakna,Aleg,Aleg,Biram Dah Dah ABEID (Biram),10223,313,51,786
2019,Presidential,Brakna,Aleg,Aleg,KANE Hamidou Baba (Kane),10223,313,51,193
2019,Presidential,Brakna,Aleg,Aleg,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani),10223,313,51,3370
2019,Presidential,Brakna,Aleg,Aleg,Mohamed Lemine El Mourteji El WAVI (Wavi),10223,313,51,19
